area,"poly(dist, 2, raw = TRUE)",mean_mx30_grd,GeologicalOrigin,"poly(dist, 1, raw = TRUE)",model
1.4979025958135546,1.4979025958135546,NA,NA,NA,Anagenesis volcanic islands
1.4978339271898968,1.4978339271898968,NA,NA,NA,Anagenesis volcanic islands
1.4896829173732569,1.4896829173732569,NA,NA,NA,Anagenesis volcanic islands
1.494022703757248,1.494022703757248,NA,NA,NA,Anagenesis volcanic islands
1.4939872816560562,1.4939872816560562,NA,NA,NA,Anagenesis volcanic islands
1.4969705758005536,1.4969705758005536,NA,NA,NA,Anagenesis volcanic islands
1.4965867024374064,1.4965867024374064,NA,NA,NA,Anagenesis volcanic islands
1.4932639471939275,1.4932639471939275,NA,NA,NA,Anagenesis volcanic islands
1.4931046187483394,1.4931046187483394,NA,NA,NA,Anagenesis volcanic islands
1.4941199163585686,1.4941199163585686,NA,NA,NA,Anagenesis volcanic islands
1.494280477395908,1.494280477395908,NA,NA,NA,Anagenesis volcanic islands
1.4998397633387759,1.4998397633387759,NA,NA,NA,Anagenesis volcanic islands
1.490289287990594,1.490289287990594,NA,NA,NA,Anagenesis volcanic islands
1.4943565071279807,1.4943565071279807,NA,NA,NA,Anagenesis volcanic islands
1.4969444753707328,1.4969444753707328,NA,NA,NA,Anagenesis volcanic islands
1.4980613012947668,1.4980613012947668,NA,NA,NA,Anagenesis volcanic islands
1.493357417087938,1.493357417087938,NA,NA,NA,Anagenesis volcanic islands
1.4919768487009244,1.4919768487009244,NA,NA,NA,Anagenesis volcanic islands
1.49854958984436,1.49854958984436,NA,NA,NA,Anagenesis volcanic islands
1.497126814520945,1.497126814520945,NA,NA,NA,Anagenesis volcanic islands
1.4907268505558575,1.4907268505558575,NA,NA,NA,Anagenesis volcanic islands
1.4935338563542853,1.4935338563542853,NA,NA,NA,Anagenesis volcanic islands
1.4963900105986279,1.4963900105986279,NA,NA,NA,Anagenesis volcanic islands
1.4929694957031736,1.4929694957031736,NA,NA,NA,Anagenesis volcanic islands
1.4972226794269698,1.4972226794269698,NA,NA,NA,Anagenesis volcanic islands
1.4968365930497907,1.4968365930497907,NA,NA,NA,Anagenesis volcanic islands
1.488929922976079,1.488929922976079,NA,NA,NA,Anagenesis volcanic islands
1.494486463565278,1.494486463565278,NA,NA,NA,Anagenesis volcanic islands
1.4963522318101592,1.4963522318101592,NA,NA,NA,Anagenesis volcanic islands
1.4941861295419014,1.4941861295419014,NA,NA,NA,Anagenesis volcanic islands
1.493621388600757,1.493621388600757,NA,NA,NA,Anagenesis volcanic islands
1.4927900536976972,1.4927900536976972,NA,NA,NA,Anagenesis volcanic islands
1.493859405044203,1.493859405044203,NA,NA,NA,Anagenesis volcanic islands
1.4969787329202024,1.4969787329202024,NA,NA,NA,Anagenesis volcanic islands
1.496031876105751,1.496031876105751,NA,NA,NA,Anagenesis volcanic islands
1.4939574032449385,1.4939574032449385,NA,NA,NA,Anagenesis volcanic islands
1.4997139916630329,1.4997139916630329,NA,NA,NA,Anagenesis volcanic islands
1.4937575167491253,1.4937575167491253,NA,NA,NA,Anagenesis volcanic islands
1.4943086024579941,1.4943086024579941,NA,NA,NA,Anagenesis volcanic islands
1.4949323424695116,1.4949323424695116,NA,NA,NA,Anagenesis volcanic islands
1.4927416788588659,1.4927416788588659,NA,NA,NA,Anagenesis volcanic islands
1.4954619317790947,1.4954619317790947,NA,NA,NA,Anagenesis volcanic islands
1.4943572860818133,1.4943572860818133,NA,NA,NA,Anagenesis volcanic islands
1.498341868381835,1.498341868381835,NA,NA,NA,Anagenesis volcanic islands
1.4935474421501083,1.4935474421501083,NA,NA,NA,Anagenesis volcanic islands
1.498013453474382,1.498013453474382,NA,NA,NA,Anagenesis volcanic islands
1.4953334612084626,1.4953334612084626,NA,NA,NA,Anagenesis volcanic islands
1.492828513061287,1.492828513061287,NA,NA,NA,Anagenesis volcanic islands
1.4905222961255125,1.4905222961255125,NA,NA,NA,Anagenesis volcanic islands
1.495398080342046,1.495398080342046,NA,NA,NA,Anagenesis volcanic islands
1.4917662755743002,1.4917662755743002,NA,NA,NA,Anagenesis volcanic islands
1.4939408535446297,1.4939408535446297,NA,NA,NA,Anagenesis volcanic islands
1.4925380077008814,1.4925380077008814,NA,NA,NA,Anagenesis volcanic islands
1.4896208159792632,1.4896208159792632,NA,NA,NA,Anagenesis volcanic islands
1.4897388728918628,1.4897388728918628,NA,NA,NA,Anagenesis volcanic islands
1.493735840916799,1.493735840916799,NA,NA,NA,Anagenesis volcanic islands
1.4970607602235257,1.4970607602235257,NA,NA,NA,Anagenesis volcanic islands
1.4926920312127328,1.4926920312127328,NA,NA,NA,Anagenesis volcanic islands
1.4954232916114374,1.4954232916114374,NA,NA,NA,Anagenesis volcanic islands
1.4921337067098401,1.4921337067098401,NA,NA,NA,Anagenesis volcanic islands
1.4935980507757662,1.4935980507757662,NA,NA,NA,Anagenesis volcanic islands
1.4906395537787704,1.4906395537787704,NA,NA,NA,Anagenesis volcanic islands
1.4988736387857544,1.4988736387857544,NA,NA,NA,Anagenesis volcanic islands
1.4997925443215254,1.4997925443215254,NA,NA,NA,Anagenesis volcanic islands
1.4960529178595687,1.4960529178595687,NA,NA,NA,Anagenesis volcanic islands
1.4952380865364274,1.4952380865364274,NA,NA,NA,Anagenesis volcanic islands
1.497389791614466,1.497389791614466,NA,NA,NA,Anagenesis volcanic islands
1.4923266146375436,1.4923266146375436,NA,NA,NA,Anagenesis volcanic islands
1.4936996594205927,1.4936996594205927,NA,NA,NA,Anagenesis volcanic islands
