term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Fragmentation,0.122442614685002,0.0617284264815461,1.98356934825815,0.0532910589821109,0.0121097114987262,0.256628996894048,Anagenesis
Fragmentation,0.122328197618134,0.0614257532658007,1.99148062684387,0.0523853212873779,0.0124882510596498,0.255782251018593,Anagenesis
Fragmentation,0.12116637128649,0.0612977836297476,1.97668437766629,0.054090260583237,0.0115293992008826,0.254323020639845,Anagenesis
Fragmentation,0.122541558996033,0.0616927641981945,1.98631979922889,0.0529746479514235,0.0122675391659823,0.256642015434947,Anagenesis
Fragmentation,0.12306848040556401,0.0615151201123696,2.00062163872483,0.0513553769128058,0.0130909896692797,0.256742824164643,Anagenesis
Fragmentation,0.122807177876644,0.0614524579023866,1.99840953590035,0.0516030021570713,0.0129285011351923,0.256326824927814,Anagenesis
Fragmentation,0.123367551710742,0.0616703739857196,2.00043462910261,0.0513762711534951,0.0131388857749551,0.257415927570435,Anagenesis
Fragmentation,0.12264402506278,0.0614670150828928,1.99528193938465,0.0519548693401223,0.0127390428601833,0.256195267469229,Anagenesis
Fragmentation,0.122109578472922,0.0614753066979338,1.98631914230086,0.0529747233302469,0.0121889881963919,0.25568785476069,Anagenesis
Fragmentation,0.121637101342599,0.0613948957924502,1.98122498250998,0.0535620398136787,0.0118430491505655,0.255022542178701,Anagenesis
Fragmentation,0.122065584608236,0.0615976150854377,1.98166088798937,0.0535115645673006,0.0119458686082908,0.255942883064021,Anagenesis
Fragmentation,0.122480337793254,0.0614365034595625,1.99360853720899,0.0521439836467579,0.0126268276591788,0.255967594390105,Anagenesis
Fragmentation,0.122429481614783,0.0615413289494294,1.98938637992994,0.0526237821338219,0.0124023332216616,0.256164959284972,Anagenesis
Fragmentation,0.122693499027337,0.0613715954633195,1.99919031110521,0.0515154837265398,0.0129480865987288,0.256022886817167,Anagenesis
Fragmentation,0.122499401353659,0.0614945087345159,1.99203805143827,0.0523220077372329,0.0125525697086438,0.256128926874799,Anagenesis
Fragmentation,0.122038508858472,0.0614395351870833,1.9863188822452,0.0529747531702075,0.0121754053259244,0.255530524098171,Anagenesis
Fragmentation,0.123345031297059,0.0616101156910268,2.00202564000418,0.0511987449182075,0.013216220295828,0.257251598183327,Anagenesis
Fragmentation,0.122263433781306,0.0618471907914911,1.97686317222555,0.0540693763220059,0.0117334988924335,0.256735770963925,Anagenesis
Fragmentation,0.122773272864492,0.0618269811906542,1.9857555795244,0.0530394231199935,0.0122793708940203,0.25719038400407,Anagenesis
Fragmentation,0.122166671263597,0.0614319450794126,1.98865054827212,0.0527077895886528,0.0123179373049383,0.255641814640333,Anagenesis
Fragmentation,0.122762541949846,0.0615836532041052,1.99342740423302,0.0521644894419674,0.0126713519402352,0.256603919886788,Anagenesis
Fragmentation,0.121247560322218,0.0612925737490459,1.97817701078519,0.0539161252851297,0.011620452386018,0.254391342183423,Anagenesis
Fragmentation,0.12256933477769,0.0616676772499053,1.98757826212562,0.0528304161849403,0.0123392160011525,0.256615002953776,Anagenesis
Fragmentation,0.122375360948044,0.0616430558794548,1.98522541107232,0.0531003513098383,0.0121841695300715,0.256363059939699,Anagenesis
Fragmentation,0.12232192594789,0.0615438494234382,1.98755727979058,0.0528328181781173,0.012292094212085,0.2560676895343,Anagenesis
Fragmentation,0.122728135122874,0.0614712437180052,1.99651296606069,0.0518161272708082,0.0128190842110906,0.256295630082038,Anagenesis
Fragmentation,0.123008926584918,0.0615190387663148,1.99952614754235,0.0514778787232086,0.0130263764820688,0.256696339057928,Anagenesis
Fragmentation,0.122674819004791,0.0616826679499501,1.98880533352304,0.052690108662792,0.0124171919384097,0.256746406793202,Anagenesis
Fragmentation,0.123264452646146,0.0615394468997645,2.00301528297645,0.0510885875609892,0.0132499452284185,0.256999883951322,Anagenesis
Area,0.657815235332163,0.338116761639634,1.94552684150354,0.0577062475360202,0.0203506830506054,1.35768595516659,Cladogenesis
Area,0.606633486437166,0.330915916838102,1.83319524861041,0.0731112715579087,-0.0189818598742013,1.28990328166489,Cladogenesis
Area,0.687739705296469,0.341085198345553,2.01632820372264,0.0495006756730325,0.0463363588128738,1.39609153943103,Cladogenesis
Area,0.731907854240772,0.348396910181785,2.10078744343307,0.0410505748911853,0.0778134307564914,1.45647895479696,Cladogenesis
Area,0.654681516795256,0.324409198611557,2.01807322232919,0.0493118842217086,0.0428198979102966,1.32560680794477,Cladogenesis
Area,0.674769202744537,0.341187001220588,1.97771075782655,0.0538416482169704,0.0330298869663856,1.38347821613286,Cladogenesis
Area,0.703125477568558,0.358009663325528,1.96398463392656,0.0554617286446683,0.0317158806857031,1.45009209618645,Cladogenesis
Area,0.670158351847099,0.334312423105639,2.00458704352526,0.0507872787637838,0.0406792515199486,1.36336093362631,Cladogenesis
Area,0.584012128547243,0.334904300427907,1.74381794381574,0.0877289062617515,-0.0487289254303685,1.27668335451501,Cladogenesis
Area,0.65174615903117,0.352468021310392,1.84909302298726,0.0707393532993594,-0.0116456094102673,1.38399878168055,Cladogenesis
Area,0.602290189732373,0.321435917898396,1.8737488755776,0.0671897427194752,-0.00619650721734234,1.26439935196783,Cladogenesis
Area,0.609823733007384,0.350253129240647,1.74109431749972,0.0882100918065627,-0.0503596606249856,1.33695477726519,Cladogenesis
Area,0.634803151576657,0.355959093541779,1.78335983851512,0.0809858553915305,-0.0347622121409607,1.37587645845293,Cladogenesis
Area,0.605844476782852,0.331227406682896,1.82908921351083,0.0737346858024294,-0.0196913104316742,1.29085485389873,Cladogenesis
Area,0.673787851524513,0.328917083692448,2.04850366530227,0.0461185300843009,0.0539780500346976,1.35458292720168,Cladogenesis
Area,0.641208114454813,0.369641984474019,1.73467339043539,0.0893531790097109,-0.0532681250145164,1.41278113324645,Cladogenesis
Area,0.660608912712891,0.366549186135779,1.80223811073525,0.0779229589244677,-0.0269874953603645,1.42669357689319,Cladogenesis
Area,0.722170736240854,0.33730325351078,2.14101325357591,0.0374896521788452,0.088135549435477,1.42220646837813,Cladogenesis
Area,0.606226335305863,0.315505977135198,1.92144168174059,0.0607519006251294,0.00949178786834424,1.25668635941378,Cladogenesis
Area,0.680344632953216,0.319497443196604,2.12942121272177,0.0384869110054405,0.0779812743956133,1.34060809026151,Cladogenesis
Area,0.662730791729288,0.355314532268288,1.86519472620072,0.0684037272676335,-0.00501865633065143,1.40265340711239,Cladogenesis
Area,0.671241716251354,0.33728857018719,1.99011106684945,0.0524132719315694,0.0361703424291765,1.37071694079344,Cladogenesis
Area,0.65497862946478,0.337926169712995,1.9382299690523,0.0586148271361093,0.0181024457028555,1.35510171724198,Cladogenesis
Area,0.708551450700522,0.359960937244407,1.9684120619439,0.0549346417294848,0.0334792491331089,1.45933486529413,Cladogenesis
Area,0.62924080024823,0.326154587217995,1.92927165493968,0.0597470253614959,0.0137451800303081,1.30365263323605,Cladogenesis
Area,0.664077246132444,0.338782382297669,1.96018825308619,0.0559171471464126,0.0261205750085684,1.36670717284906,Cladogenesis
Area,0.653080079140274,0.346402338146368,1.88532237581007,0.0655764298893386,0.00117612689599502,1.37283016763506,Cladogenesis
Area,0.652030805290423,0.34195106073872,1.90679567971462,0.0626703522426574,0.00821117907622048,1.36170114607639,Cladogenesis
Area,0.613587704775843,0.321500221578421,1.90851409608181,0.0624426149836937,0.00534045152411874,1.27602208676909,Cladogenesis
Area,0.667429403700136,0.343268914259365,1.94433394920183,0.0578539507738868,0.0212741491803778,1.37986106287255,Cladogenesis
Area,0.653139485777033,0.330423904912701,1.97667140926016,0.0539628787923481,0.0304718383605858,1.337757851143,Cladogenesis
Area,0.706107133691712,0.324507214401652,2.17593662746044,0.0346211169702577,0.0951735023647108,1.37788059031502,Cladogenesis
Area,0.709554522147598,0.349066957699507,2.03271752452266,0.0477519629083882,0.0542083962288065,1.43592109197327,Cladogenesis
Area,0.715882829461186,0.335116908339687,2.13621817236253,0.0378993859002956,0.0857417791369143,1.41110210050932,Cladogenesis
Area,0.692242449202995,0.333563788904684,2.07529255941149,0.0434576250676706,0.0636538782651778,1.38240938836198,Cladogenesis
Area,0.706040483191787,0.330258127839153,2.13784438194252,0.0377599899051099,0.0847104733968776,1.39062046161642,Cladogenesis
Area,0.69514890225014,0.336841075316784,2.06372961372476,0.0445892889324627,0.0616357430748192,1.39431745296415,Cladogenesis
Area,0.676239615027517,0.330643302312351,2.04522399304096,0.0464538332115806,0.0535347958407598,1.36112067371776,Cladogenesis
Area,0.67703596160798,0.34073854687788,1.98696615869125,0.0527724004967497,0.0354261055428682,1.38333443504642,Cladogenesis
Area,0.720829093667102,0.340372883581998,2.1177629841757,0.0395132575295016,0.0816982566836958,1.42859048108213,Cladogenesis
Area,0.637310919260087,0.370748892068752,1.71898266695805,0.092198404063023,-0.0588755404066934,1.41210361639056,Cladogenesis
Area,0.700662360534728,0.330615670739245,2.11926542673574,0.0393796559849334,0.0786056648033266,1.38599327245091,Cladogenesis
Area,0.64986967110195,0.34534350199716,1.88180657039638,0.0660630015275105,-8.22326424374173e-4,1.36589419298373,Cladogenesis
Area,0.629913626305465,0.346026397311475,1.82042072859097,0.0750655519560393,-0.0223151224327003,1.3478395958971,Cladogenesis
Area,0.704591479588404,0.323764363011566,2.17624779032037,0.0345964529645365,0.0944659592578493,1.37385566816322,Cladogenesis
Area,0.707640055414168,0.337827236453778,2.09468029529641,0.0416163001657481,0.0732092992244817,1.41019435777326,Cladogenesis
Area,0.587704653228959,0.353844156866224,1.66091382837544,0.103388367794714,-0.0793351131325217,1.32277548523414,Cladogenesis
Area,0.620819509410475,0.342238403942373,1.81399720855118,0.0760647599763137,-0.0248809482684373,1.32957816921567,Cladogenesis
Area,0.692009152686276,0.343215634953732,2.01625183182451,0.0495089525295617,0.0465458090856235,1.40467518761419,Cladogenesis
Area,0.59798951902166,0.334386529996902,1.788318204765,0.080171774881369,-0.0333027090378973,1.29012233139244,Cladogenesis
Area,0.666299952408904,0.347872201606216,1.91535842568744,0.0615425514834357,0.012088827454966,1.38939661196254,Cladogenesis
Area,0.601856953997195,0.34946631213486,1.72221737288639,0.0916057807864777,-0.057752680251076,1.32606944306883,Cladogenesis
Area,0.685304926553876,0.342187975546294,2.0027148103606,0.0509950893748943,0.0413401264007819,1.39524905581466,Cladogenesis
Area,0.584639622773926,0.351936979457691,1.66120543420817,0.103329506398556,-0.0794852124746944,1.31489417424013,Cladogenesis
Area,0.654894465867212,0.329292899651809,1.98879012137732,0.0525638578621337,0.0334011291394546,1.33528456475883,Cladogenesis
Area,0.600246542740615,0.355201524353056,1.68987603258142,0.0976751789073204,-0.0694696212067611,1.33799608288818,Cladogenesis
Area,0.640770379818549,0.345482306731046,1.85471257813901,0.0699166542252118,-0.00971093038861164,1.35818763169834,Cladogenesis
Area,0.705641319237384,0.331039749421196,2.13159090553674,0.0382985017538946,0.082351630801558,1.39114673599406,Cladogenesis
Area,0.619239734722037,0.329627905675598,1.87860227869014,0.0665091320779313,-0.00318141435472569,1.30066752160629,Cladogenesis
Area,0.604804241345028,0.330592382902379,1.82945606923926,0.0736788046454552,-0.0200081377572612,1.28785386040322,Cladogenesis
Area,0.69027675962699,0.360091280625798,1.91694938690925,0.0613349271686991,0.0145300391008933,1.4411750438899,Cladogenesis
Area,0.702650115283991,0.356526878825976,1.97081947256762,0.0546498519078892,0.0344117260522062,1.44722033566894,Cladogenesis
Area,0.587377236225954,0.34814862392458,1.68714507501026,0.0982025383889494,-0.0694962110947612,1.30970742730063,Cladogenesis
Area,0.599356939751727,0.387062358554726,1.54847643152307,0.128215572939963,-0.128322917904609,1.40887638289953,Cladogenesis
Area,0.706874451485152,0.337971285681953,2.09152221337038,0.0419115071664163,0.0719663396835402,1.40920007110595,Cladogenesis
Area,0.645238711669641,0.35230865422992,1.83145859155805,0.0733744008623014,-0.017380213801149,1.37823944963462,Cladogenesis
Area,0.68703375037358,0.354137665226123,1.94001886225487,0.0583909535776795,0.0221998973488048,1.42498134945582,Cladogenesis
Area,0.659709246355671,0.345193547152816,1.91112855902726,0.0620974822051218,0.00999927850604995,1.37664216015892,Cladogenesis
Area,0.596387135762153,0.343627571712517,1.73556252424674,0.0891941599474764,-0.0525392687361265,1.30795263120004,Cladogenesis
Area,0.609342818491106,0.332720483451634,1.83139556714333,0.0733839650095127,-0.019263430094963,1.29692214168443,Cladogenesis
Area,0.691036508271149,0.329547943589614,2.09692253195091,0.0414078077697545,0.0702947826605192,1.37323632017232,Cladogenesis
Area,0.671269040194606,0.337659888633129,1.98800349935537,0.0526537088770506,0.0353134699343839,1.37112120335818,Cladogenesis
Area,0.70676909234024,0.353577407963996,1.99890908304924,0.0514197764409581,0.0433414129934245,1.44369773596243,Cladogenesis
Area,0.596109463289957,0.356410668558308,1.6725354089462,0.101063728327308,-0.0759360208489767,1.3364943816641,Cladogenesis
Area,0.6550197326264,0.360078373280672,1.81910323205062,0.0752695880262701,-0.0218682544369035,1.40512060049598,Cladogenesis
Area,0.660496412498574,0.324948675868727,2.03261764564137,0.0477624554137645,0.0473759729096867,1.33183596648102,Cladogenesis
Area,0.645289031294887,0.358899841587769,1.79796410173974,0.0786077344509448,-0.0302357194935185,1.39154972332961,Cladogenesis
Area,0.65833783946017,0.333549518760953,1.97373344115656,0.0543068386365524,0.0301125740762324,1.34974780508865,Cladogenesis
Area,0.72268994851708,0.344075430687366,2.10038231173132,0.0410878942693369,0.0772780748733112,1.43939590330054,Cladogenesis
Area,0.675596811636304,0.343246398843647,1.96825608050748,0.0549531378630437,0.0300562452352914,1.38866868606006,Cladogenesis
Area,0.656217555759797,0.343437896713524,1.91073134921734,0.0621498123227194,0.00890449192552244,1.36786083019838,Cladogenesis
Area,0.654773655362122,0.339599739719907,1.92807466784916,0.0598997157081644,0.0152613814058925,1.359218565124,Cladogenesis
Area,0.656367254509023,0.353985579757233,1.85422031868972,0.0699883953414732,-0.0102156931848842,1.39123227712059,Cladogenesis
Area,0.645950044632467,0.335292940604918,1.92652443999291,0.0600979625227515,0.0139551898028667,1.34063171283955,Cladogenesis
Area,0.677660693461751,0.359404121540089,1.8855117480509,0.0655503083921158,0.00228251740505694,1.42565282575297,Cladogenesis
Area,0.659599821923455,0.335990411611766,1.9631507302822,0.0555614904442151,0.0265803411164842,1.35567227278756,Cladogenesis
Area,0.696413616943843,0.343463544961772,2.02762018607057,0.0482900096290507,0.0505818072225192,1.40957247106894,Cladogenesis
Area,0.636449618825216,0.34047759927456,1.86928485216434,0.0678209637317381,-0.00469063890186176,1.34321552604649,Cladogenesis
Area,0.670230778977235,0.326810057562428,2.05082666052653,0.0458823089217456,0.0537964373358274,1.3457731117177,Cladogenesis
Area,0.753774071889321,0.326912265920475,2.30573811529202,0.025585160194489,0.139434344931215,1.43169639396617,Cladogenesis
Area,0.649159827321289,0.344656818950087,1.88349625374828,0.0658287750516406,3.19714684571513e-4,1.36492177840293,Cladogenesis
Area,0.655839611138008,0.325190419864636,2.0167863844544,0.0494510451710768,0.0427152863605533,1.32857848958191,Cladogenesis
Area,0.65212305782621,0.338143233052108,1.92854090836033,0.0598402013612897,0.0151418431840938,1.35319917629269,Cladogenesis
Area,0.620270395931541,0.337148187049329,1.8397559878938,0.0721244023198277,-0.0160131888375923,1.31805987963296,Cladogenesis
Area,0.647496723701729,0.334495617768464,1.93574052784728,0.0589275957321043,0.0168013056888249,1.3399533772747,Cladogenesis
Area,0.689005698840229,0.353099116969299,1.95130960607907,0.0569948063064122,0.0262653488689007,1.42493363813112,Cladogenesis
Area,0.667370080568614,0.347537590183413,1.92028171748676,0.060901989369954,0.0134821803279155,1.38930271406246,Cladogenesis
Area,0.660101229500168,0.32319726906566,2.042409675702,0.0467432464004709,0.0508115508543191,1.32863511816263,Cladogenesis
Area,0.734330250758893,0.33705421983929,2.1786709898159,0.034404909965699,0.101344305180746,1.43461304841527,Cladogenesis
Area,0.609122843475389,0.3542479760965,1.71948150611158,0.0921068061001484,-0.0587111114629746,1.34447697919464,Cladogenesis
Max Elevation,3.57254083462157,1.73558830179349,2.05840338456409,0.045119141436521,0.378739710979707,7.26563495724218,Cladogenesis
Max Elevation,3.71825884094658,1.71169651717655,2.17226523722784,0.0349132983702541,0.573167435230555,7.36303065206098,Cladogenesis
Max Elevation,3.64989022496611,1.72879576175833,2.11123274692313,0.0400985690514732,0.469229570356471,7.32829417730619,Cladogenesis
Max Elevation,4.04465376965225,1.80506856487223,2.24072029637199,0.0298086795881629,0.743224885310193,7.9113733387903,Cladogenesis
Max Elevation,3.64350742621488,1.64878021100957,2.20981996380458,0.0320247429962275,0.603678909356457,7.1384177330575,Cladogenesis
Max Elevation,3.67963152232669,1.72664296007085,2.13108998641833,0.0383419279902989,0.504332970741107,7.35464951313823,Cladogenesis
Max Elevation,3.76529800856958,1.81059677317966,2.07958948361384,0.0430435120975207,0.445951169439648,7.63752366261605,Cladogenesis
Max Elevation,3.719025018042,1.69919246675127,2.18870145131499,0.033621958729331,0.59298439815073,7.33183758259712,Cladogenesis
Max Elevation,3.12712021135272,1.67277818408107,1.86941714156237,0.0678021856378946,0.0311956746069358,6.66465492872606,Cladogenesis
Max Elevation,3.50037018498672,1.78972025104079,1.95581973381098,0.0564451743067522,0.209949526658226,7.31737035657097,Cladogenesis
Max Elevation,3.73039585005488,1.67194119941372,2.23117646204482,0.0304781546330567,0.654959650797278,7.28348837405141,Cladogenesis
Max Elevation,3.40015558120682,1.76387650408638,1.927660793332,0.0599525881164176,0.153120820440962,7.15584449171058,Cladogenesis
Max Elevation,3.56260896658915,1.79053044952445,1.98969471171817,0.0524606956073249,0.273977510830249,7.38471512680361,Cladogenesis
Max Elevation,3.44406444364125,1.67343879233776,2.05807613604437,0.0451518739873986,0.35680636361327,6.9921868744826,Cladogenesis
Max Elevation,3.61719224068323,1.67438770238205,2.16030745778726,0.035880054921718,0.530984041399758,7.16938497608874,Cladogenesis
Max Elevation,3.72206286579237,1.87438757049637,1.98574879836975,0.0529119840758632,0.294039207361018,7.74670858729119,Cladogenesis
Max Elevation,3.51394878489241,1.82596675740392,1.92443195947795,0.0603664441148952,0.160636328217622,7.41572182977024,Cladogenesis
Max Elevation,3.91718440701379,1.73501532012181,2.25772323828171,0.0286482414170019,0.73302055304604,7.61649863440799,Cladogenesis
Max Elevation,3.48288642338317,1.59933687424775,2.17770657293283,0.0344810304692256,0.5267815156022,6.86202278212252,Cladogenesis
Max Elevation,3.41842462620325,1.61192358424204,2.1207113411711,0.039251454995446,0.435339695288872,6.82111236530461,Cladogenesis
Max Elevation,3.66552997029229,1.7971047833457101,2.03968627998869,0.0470247991525923,0.367889722683891,7.50493855878353,Cladogenesis
Max Elevation,3.80682616930518,1.72626054130136,2.20524427120102,0.0323649978418206,0.636525568089472,7.48501150554455,Cladogenesis
Max Elevation,3.73450496060424,1.73390014085842,2.15381778489005,0.0364145296112825,0.549257458825285,7.42900272204543,Cladogenesis
Max Elevation,3.68664220572013,1.82327475733624,2.02198938524561,0.048890467730207,0.34215344304246,7.58550998278767,Cladogenesis
Max Elevation,3.28633663566453,1.63417655637707,2.01100463890527,0.0500804969082259,0.261907588322932,6.73830051573917,Cladogenesis
Max Elevation,3.72515499551405,1.7285829932709,2.15503392664135,0.0363138409829826,0.548451437415523,7.40659453763076,Cladogenesis
Max Elevation,3.70913743482379,1.75907523836565,2.10857236457374,0.0403391891968252,0.47947839479688,7.46168026776854,Cladogenesis
Max Elevation,3.45499185300594,1.72182436847442,2.00658784732333,0.0505660069286063,0.281402710500009,7.11278800626663,Cladogenesis
Max Elevation,3.51686939743024,1.6562205468666,2.12343060474874,0.039011343836597,0.461751552902097,7.02697651673691,Cladogenesis
Max Elevation,3.7258312130344,1.75437191176224,2.12374080322106,0.0389840352724567,0.504179331822281,7.46713230677815,Cladogenesis
Max Elevation,3.74506168843115,1.6776851443411,2.23227922179761,0.030400123667491,0.65806608923881,7.30973585262934,Cladogenesis
